,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Ukraine,Ukraine,GPE,0.00000000,0.00000000,en,1.60000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Iceland,Iceland,GPE,0.25000000,0.25000000,en,1.60000000,4027754-9,2629691,A,65.00000000,-18.00000000,POLAR,Iceland,GIC
Mississippi,Mississippi,GPE,0.02430556,0.59375000,en,1.60000000,4039588-1,4436296,A,32.75041000,-89.75036000,NORTH-AMERICA,United States,ENA
Quebec,Quebec,GPE,0.29352679,0.43005952,en,1.60000000,4103473-9,6325494,P,46.81228000,-71.21454000,NORTH-AMERICA,Canada,ENA
Detroit,Detroit,GPE,0.10763889,0.87152778,en,1.60000000,4011559-8,4990729,P,42.33143000,-83.04575000,NORTH-AMERICA,United States,ENA
The United States,The United States,GPE,-0.12250000,0.73500000,en,1.60000000,,6255150,L,-14.60485000,-57.65625000,SOUTH-AMERICA,Brazil,SAM
Winnipeg Jets,Winnipeg Jets,GPE,0.45312500,1.01041667,en,1.60000000,,0,,,,,,
Hong Kong,Hong Kong,GPE,0.61111111,0.71111111,en,1.50000000,1318138531,1819729,P,22.27832000,114.17469000,ASIA,Hong Kong,EAS
Australia,Australia,GPE,0.04545455,0.15151515,en,1.50000000,4003900-6,2077456,A,-25.00000000,135.00000000,OCEANIA,Australia,CAU
CAM,CAM,GPE,0.52116402,0.64708995,en,1.50000000,,7732862,S,11.99806000,109.21944000,ASIA,Vietnam,SEA
Heavenly Mountain Resort,Heavenly Mountain Resort,LOC,0.73333333,1.46666667,en,1.50000000,,5505368,S,38.93769000,-119.90879000,NORTH-AMERICA,United States,WNA
Arizona,Arizona,GPE,-0.11666667,0.56666667,en,1.50000000,4002920-7,5551752,A,34.50030000,-111.50098000,NORTH-AMERICA,United States,WNA
East,East,LOC,-0.08787879,0.48484848,en,1.50000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
Earth,Earth,LOC,-0.35714286,0.59523810,en,1.40000000,1135962553,6295630,L,0.00000000,0.00000000,ATLANTIC,,EAO
St. Louis Blues,St. Louis Blues,GPE,-0.19196429,0.69791667,en,1.40000000,,0,,,,,,
the Vardousia Mountains,the Vardousia Mountains,LOC,0.11904762,0.63492063,en,1.40000000,,0,,,,,,
Türkiye,Türkiye,GPE,0.21333874,0.83712121,en,1.40000000,4061163-2,298795,A,39.00000000,35.00000000,EUROPE-AFRICA,Turkey,MED
Wisconsin,Wisconsin,GPE,-0.25595238,0.47023810,en,1.40000000,4119135-3,5279468,A,44.50024000,-90.00041000,NORTH-AMERICA,United States,CNA
Khabarhub,Khabarhub,GPE,0.34672619,0.71428571,en,1.40000000,,0,,,,,,
Syracuse,Syracuse,GPE,-0.17857143,1.14285714,en,1.40000000,4205703-6,5140405,P,43.04812000,-76.14742000,NORTH-AMERICA,United States,ENA
Vancouver Island,Vancouver Island,GPE,-0.23076923,0.34615385,en,1.30000000,10356200-X,8630140,L,49.75152000,-126.48958000,NORTH-AMERICA,Canada,WNA
Québec,Québec,GPE,-0.08173077,0.64903846,en,1.30000000,4103473-9,6325494,P,46.81228000,-71.21454000,NORTH-AMERICA,Canada,ENA
Montana,Montana,GPE,0.65384615,0.59615385,en,1.30000000,4262460-5,729114,P,43.41250000,23.22500000,EUROPE-AFRICA,Bulgaria,MED
Rhode Island,Rhode Island,GPE,0.11538462,0.38461538,en,1.30000000,4049848-7,5224323,A,41.75038000,-71.49978000,NORTH-AMERICA,United States,ENA
Salt Lake County,Salt Lake County,GPE,0.00000000,0.00000000,en,1.30000000,4118295-9,5780993,P,40.76078000,-111.89105000,NORTH-AMERICA,United States,WNA
Metro Vancouver,Metro Vancouver,GPE,-0.23076923,0.34615385,en,1.30000000,4119364-7,6173331,P,49.24966000,-123.11934000,NORTH-AMERICA,Canada,WNA
Claremore,Claremore,GPE,-0.04807692,0.14423077,en,1.30000000,,4533580,P,36.31260000,-95.61609000,NORTH-AMERICA,United States,CNA
Courmayeur,Courmayeur,GPE,0.00000000,0.00000000,en,1.30000000,4494735-5,3177872,P,45.79659000,6.96893000,EUROPE,Italy,WCE
Long Island,Long Island,GPE,0.04248252,0.64289044,en,1.30000000,,3572005,A,23.21667000,-75.11167000,CENTRAL-AMERICA,Bahamas,CAR
Conway,Conway,GPE,-0.61538462,0.61538462,en,1.30000000,4090539-1,4106460,A,35.26221000,-92.70132000,NORTH-AMERICA,United States,CNA
Mill Valley,Mill Valley,GPE,-0.03846154,0.15384615,en,1.30000000,7617871-7,5373121,P,37.90604000,-122.54498000,NORTH-AMERICA,United States,WNA
Nevada County Sheriff,Nevada County Sheriff,GPE,-0.09615385,0.76923077,en,1.30000000,,5512172,S,39.57230000,-119.81010000,NORTH-AMERICA,United States,WNA
Helsinki,Helsinki,GPE,0.19230769,0.49679487,en,1.30000000,4024351-5,658225,P,60.16952000,24.93545000,EUROPE,Finland,NEU
TORONTO,TORONTO,GPE,0.26510989,0.40109890,en,1.30000000,4060459-7,6167865,P,43.70643000,-79.39864000,NORTH-AMERICA,Canada,ENA
MADRID,MADRID,GPE,0.21794872,1.03846154,en,1.30000000,4036862-2,3117735,P,40.41650000,-3.70256000,EUROPE-AFRICA,Spain,MED
Gaza,Gaza,GPE,0.00000000,0.00000000,en,1.30000000,4092680-1,281133,P,31.50161000,34.46672000,EUROPE-AFRICA,Palestinian Territory,MED
San Antonio,San Antonio,GPE,0.61538462,0.50000000,en,1.30000000,4124107-1,4726206,P,29.42412000,-98.49363000,CENTRAL-AMERICA,United States,NCA
Edison,Edison,GPE,-0.04807692,0.14423077,en,1.30000000,4996746-0,5097529,P,40.51872000,-74.41210000,NORTH-AMERICA,United States,ENA
Engelberg,Engelberg,GPE,0.00000000,0.19230769,en,1.30000000,4014751-4,2660902,P,46.82107000,8.40133000,EUROPE,Switzerland,WCE
US Gulf,US Gulf,LOC,-0.08391608,1.05361305,en,1.30000000,,12212749,L,30.33140000,-89.73221000,NORTH-AMERICA,United States,ENA
Himachal,Himachal,GPE,-0.23076923,0.73076923,en,1.30000000,4240080-6,1270101,A,31.91667000,77.25000000,ASIA,India,TIB
Shimla,Shimla,LOC,-0.23076923,0.73076923,en,1.30000000,4118663-1,1256237,P,31.10442000,77.16662000,ASIA,India,TIB
San Diego,San Diego,GPE,0.30769231,0.53846154,en,1.30000000,4269521-1,5391811,P,32.71571000,-117.16472000,CENTRAL-AMERICA,United States,NCA
the Great Lakes,the Great Lakes,LOC,0.82051282,1.19551282,en,1.30000000,,12212304,L,44.57143000,-84.69022000,NORTH-AMERICA,United States,ENA
Lake Superior,Lake Superior,LOC,0.84615385,1.06730769,en,1.30000000,4075549-6,6048728,H,48.33222000,-87.09861000,NORTH-AMERICA,Canada,ENA
Venezuela,Venezuela,GPE,-0.46263736,0.98901099,en,1.30000000,4062512-6,3625428,A,8.00000000,-66.00000000,SOUTH-AMERICA,Venezuela,NSA
Skåne,Skåne,GPE,0.28846154,0.67307692,en,1.30000000,4221969-3,2706767,P,56.04673000,12.69437000,EUROPE,Sweden,NEU
Slope,Slope,LOC,0.07692308,0.76923077,en,1.30000000,,5870308,A,69.25056000,-152.00056000,NORTH-AMERICA,United States,NWN
Indiana,Indiana,GPE,0.07692308,0.15384615,en,1.30000000,4109219-3,12213487,L,39.74743000,-86.20614000,NORTH-AMERICA,United States,ENA
Eastern Ontario,Eastern Ontario,LOC,0.40537241,0.66910867,en,1.30000000,,5744166,P,44.02655000,-116.96294000,NORTH-AMERICA,United States,WNA
ROCHESTER,ROCHESTER,GPE,0.03846154,0.19230769,en,1.30000000,4358771-9,5007400,P,42.68059000,-83.13382000,NORTH-AMERICA,United States,ENA
Swiss Alps,Swiss Alps,GPE,-0.15384615,0.19230769,en,1.30000000,,2661549,T,46.41667000,7.75000000,EUROPE,Switzerland,WCE
Purdue,Purdue,GPE,-0.11538462,0.67948718,en,1.30000000,,4924709,S,40.41226000,-86.93668000,NORTH-AMERICA,United States,ENA
Northeast,Northeast,LOC,-0.08391608,1.05361305,en,1.30000000,,11887749,L,42.80019000,-74.11805000,NORTH-AMERICA,United States,ENA
Texas,Texas,GPE,-0.05769231,0.33974359,en,1.30000000,4059594-8,12217092,L,28.92040000,-98.57720000,CENTRAL-AMERICA,United States,NCA
Prince George,Prince George,GPE,-0.38141026,0.63141026,en,1.30000000,4529627-3,4349159,P,38.94278000,-76.73028000,NORTH-AMERICA,United States,ENA
KANSAS CITY,KANSAS CITY,GPE,0.00000000,0.00000000,en,1.30000000,4109999-0,4393217,P,39.09973000,-94.57857000,NORTH-AMERICA,United States,CNA
Mo.,Mo.,GPE,0.00000000,0.00000000,en,1.30000000,4003217-6,6255147,L,29.84064000,89.29688000,ASIA,China,TIB
BUENOS AIRES,BUENOS AIRES,GPE,0.00000000,0.00000000,en,1.20000000,4008756-6,3435910,P,-34.61315000,-58.37723000,SOUTH-AMERICA,Argentina,SES
